Program,Cutoff,Santioned Strength,Original Strength,Final Strength
AE B.Tech,9.35,62,62,57
CE B.Tech,8.28,117,116,112
CH,NA,32,32,25
CL B.Tech,8.19,124,124,119
CL Dual Deg,NA,36,36,36
CS B.Tech,9.57,87,87,96
EE B.Tech,9.31,60,60,66
EE Dual Deg E1,9,32,32,35
EE Dual Deg E2,8.92,32,32,35
EN Dual Deg,NA,30,30,26
EP B.Tech,8.55,30,30,33
EP Dual Deg N1,NA,12,12,11
ME B.Tech,8.64,116,116,128
ME Dual Deg M2,8.45,22,22,25
MM B.Tech,8.1,98,98,87
MM Dual Deg Y1,NA,13,13,11
MM Dual Deg Y2,NA,13,13,13
